emotion,valence,arousal
pleased,0.99,-0.12
happy,0.99,0.14
delighted,0.91,0.42
excited,0.66,0.75
astonished,0.35,0.94
aroused,0.28,0.96
alarmed,-0.11,0.99
tense,-0.05,1
angry,-0.5,0.87
annoyed,-0.77,0.64
distressed,-0.87,0.5
frustrated,-0.94,0.34
miserable,-0.99,-0.15
sad,-0.89,-0.46
gloomy,-0.87,-0.5
depressed,-0.77,-0.64
bored,-0.5,-0.87
droopy,-0.23,-0.97
tired,-0.04,-1
sleepy,0.03,-1
calm,0.72,-0.69
relaxed,0.64,-0.6
satisfied,0.77,-0.55
at_ease,0.82,-0.5
content,0.91,-0.45
serene,0.85,-0.53
glad,0.98,-0.05
afraid,-0.33,0.85
